,,暗闇からフェードイン,
,,布団がしかれてるだけの無機質な部屋,
,男,どこここ,
,,目の前に扉があることに気がつく,
Select1,,,
,扉を開ける,JumpCommand,Jump
Jump_Start,,,
JumpCommand,Jump_Main_ReDirect,,
Jump_Main_ReDirect_Start,,,
,,普通のリビングのような部屋が広がる,
,,目の前の扉が開く,
,女,おはよう,
,男,......だれ,
,女,もおーそんなこと言ってえ,
,,女が近づいてくる,
,,訳も分からずただぼーっとその場立ち尽くす,
,,女が自分の首元で何かをいじっている,
,,女が離れていく,
,,手から鎖のようなものが伸びているのが見える,
,,この鎖の先は自分の首元であることに気づく,
,,首元を触ると首輪が付けられている,
,女,これでずっと一緒だね,
,男,は,
,女,さてえ、お腹空いてるでしょ！,
,女,ご飯用意したんだっ！もちろん食べるよね？,
,男,だれ,
,女,もちろん食べるよね！,
,男,いや、だから,
,女,もちろん、たべるよね,
,男,......分かりました,
,女,よし！いいこいいこ,
,,女が扉を開けて部屋を出ていく,
,,すぐに戻ってくると手には炒飯を持っている,
,,そういえばお腹がすいている気がする,
,女,じゃじゃーん！〇〇〇の大好きな炒飯だよ,
,,とても美味しそうに見える,
,女,でもタダでは食べさせてあげないよ？,
,女,今回は一、私に大好きって言って？,
,男,え,
,女,ほらはやくはやくっ冷めちゃうよ！,
,男,なんでそんなこと言わなきゃいけな,
,女,早く言えよ,
,,女の手には光るものが見える,
,,あれは包丁だろうか,
,,命の危険を感じる,
,男,だい......すき...です,
,女,うーーんもうちょっと心込めて欲しかったなあ,
,女,まあ今日は許してあげましょう！,
,,手に持っていたスプーンを取り出す,
,,包丁ではなかったようだ,
,女,はい、あーん,
,,知らない明らかにヤバそうな女が作ったもの簡単に食べてしまっていいのだろうか,
,女,ん？食べないの？,
,男,いや今お腹すいてないので,
,女,は？食べるよ,
,,無理矢理口にスプーンを運ばれる,
,,勢いで飲み込んでしまった,
,,何も変な感じはしない,
,男,うま、い,
,女,よかったあ、冷めないうちに食べちゃってね,
,女,それじゃあ大学行ってくるから,
,女,いい子にするんだよ？〇〇〇,
,,女は荷物をまとめるとそそくさと家を出てしまった,
,,だんだんと状況が掴めた気がする,
,,きっとここはあの女の家,
,,そして自分は監禁されたのだろう,
,,まずはこの家から出よう,
,,首輪が繋がれてるから外にはぎりぎり出られない,
,,できる範囲でこの家を探索してみよう,
,,どこを探索しよう,
